sample_id,sample_date,stream_ion,ion_conc
MPR,1989-05-16,K,0.77
MPR,1989-05-16,Mg,1.92
MPR,1989-05-16,Ca,6.15
MPR,1989-05-16,NO3-N,69
MPR,1989-05-23,K,0.72
MPR,1989-05-23,Mg,2.41
MPR,1989-05-23,Ca,7.17
MPR,1989-05-23,NO3-N,69
MPR,1989-05-30,K,0.7
MPR,1989-05-30,Mg,1.6
MPR,1989-05-30,Ca,5.19
MPR,1989-05-30,NO3-N,79
MPR,1989-06-06,K,0.59
MPR,1989-06-06,Mg,1.69
MPR,1989-06-06,Ca,6.6
MPR,1989-06-06,NO3-N,85
MPR,1989-06-13,K,0.65
MPR,1989-06-13,Mg,2.06
MPR,1989-06-13,Ca,6.66
MPR,1989-06-13,NO3-N,70
MPR,1989-06-20,K,0.66
MPR,1989-06-20,Mg,1.98
MPR,1989-06-20,Ca,7.64
MPR,1989-06-20,NO3-N,71
MPR,1989-06-27,K,0.7
MPR,1989-06-27,Mg,3.31
MPR,1989-06-27,Ca,7.83
MPR,1989-07-05,K,0.62
MPR,1989-07-05,Mg,0.82
MPR,1989-07-05,Ca,3.17
MPR,1989-07-05,NO3-N,10
MPR,1989-07-11,K,0.76
MPR,1989-07-11,Mg,1.85
MPR,1989-07-11,Ca,7.94
MPR,1989-07-11,NO3-N,24
MPR,1989-07-26,K,0.69
MPR,1989-07-26,Mg,1.5
MPR,1989-07-26,Ca,6.95
MPR,1989-07-26,NO3-N,10
MPR,1989-08-01,K,0.73
MPR,1989-08-01,Mg,1.66
MPR,1989-08-01,Ca,7.08
MPR,1989-08-01,NO3-N,90
MPR,1989-08-08,K,0.7
MPR,1989-08-08,Mg,1.85
MPR,1989-08-08,Ca,7.4
MPR,1989-08-08,NO3-N,183
MPR,1989-08-15,K,0.74
MPR,1989-08-15,Mg,1.87
MPR,1989-08-15,Ca,7.43
MPR,1989-08-15,NO3-N,41
MPR,1989-08-22,K,0.61
MPR,1989-08-22,Mg,1.17
MPR,1989-08-22,Ca,5
MPR,1989-08-22,NO3-N,114
MPR,1989-08-29,K,0.56
MPR,1989-08-29,Ca,4.3
MPR,1989-08-29,NO3-N,29
MPR,1989-09-12,K,0.6
MPR,1989-09-12,Mg,1.42
MPR,1989-09-12,Ca,5.61
MPR,1989-09-12,NO3-N,49
MPR,1989-10-03,K,1.01
MPR,1989-10-03,Mg,2.84
MPR,1989-10-03,Ca,4.16
MPR,1989-10-03,NO3-N,80
MPR,1989-10-10,K,1.01
MPR,1989-10-10,Mg,2.19
MPR,1989-10-10,Ca,7.94
MPR,1989-10-10,NO3-N,71
MPR,1989-10-24,K,1.17
MPR,1989-10-24,Mg,2.23
MPR,1989-10-24,Ca,8.19
MPR,1989-10-24,NO3-N,247
MPR,1989-11-07,K,1.6
MPR,1989-11-07,Mg,1.79
MPR,1989-11-07,Ca,6.9
MPR,1989-11-07,NO3-N,614
MPR,1989-11-14,K,1.26
MPR,1989-11-14,Mg,1.92
MPR,1989-11-14,Ca,7.34
MPR,1989-11-14,NO3-N,357
MPR,1989-11-21,NO3-N,212
MPR,1989-11-28,K,0.91
MPR,1989-11-28,Mg,2.45
MPR,1989-11-28,Ca,10.08
MPR,1989-11-28,NO3-N,170
MPR,1989-12-05,K,0.84
MPR,1989-12-05,Mg,2.58
MPR,1989-12-05,Ca,10.72
MPR,1989-12-05,NO3-N,10
MPR,1989-12-12,K,0.44
MPR,1989-12-12,Mg,3.62
MPR,1989-12-12,Ca,4.12
MPR,1989-12-12,NO3-N,6
MPR,1989-12-19,K,0.31
MPR,1989-12-26,K,0.81
MPR,1989-12-26,Mg,2.69
MPR,1989-12-26,Ca,11.82
MPR,1989-12-26,NO3-N,179
MPR,1990-01-02,K,1.74
MPR,1990-01-02,Mg,1.8
MPR,1990-01-02,Ca,6.25
MPR,1990-01-09,K,1.01
MPR,1990-01-09,Mg,2.52
MPR,1990-01-09,Ca,10.82
MPR,1990-01-09,NO3-N,113
MPR,1990-01-16,K,1
MPR,1990-01-16,Mg,2.35
MPR,1990-01-16,Ca,10.72
MPR,1990-01-16,NO3-N,99
MPR,1990-01-23,K,1.04
MPR,1990-01-23,Mg,2.14
MPR,1990-01-23,Ca,8.7
MPR,1990-01-23,NO3-N,24
MPR,1990-01-30,K,0.98
MPR,1990-01-30,Mg,2.11
MPR,1990-01-30,Ca,9.27
MPR,1990-01-30,NO3-N,335
MPR,1990-02-06,K,1.04
MPR,1990-02-06,Mg,2.33
MPR,1990-02-06,Ca,10.95
MPR,1990-02-06,NO3-N,215
MPR,1990-02-13,K,1.18
MPR,1990-02-13,Mg,2.35
MPR,1990-02-13,Ca,9.39
MPR,1990-02-13,NO3-N,308
MPR,1990-02-20,K,1.18
MPR,1990-02-20,Mg,2.2
MPR,1990-02-20,Ca,9.05
MPR,1990-02-20,NO3-N,32
MPR,1990-02-27,K,1.02
MPR,1990-02-27,Mg,2.18
MPR,1990-02-27,NO3-N,250
MPR,1990-03-06,K,1.06
MPR,1990-03-06,Mg,2.44
MPR,1990-03-06,Ca,9.99
MPR,1990-03-06,NO3-N,160
MPR,1990-03-13,K,1.17
MPR,1990-03-13,Mg,1
MPR,1990-03-13,Ca,3.84
MPR,1990-03-13,NO3-N,333
MPR,1990-03-20,K,0.95
MPR,1990-03-20,Mg,2.21
MPR,1990-03-20,Ca,8.49
MPR,1990-03-20,NO3-N,226
MPR,1990-03-27,K,1.19
MPR,1990-03-27,Mg,1.62
MPR,1990-03-27,Ca,5.46
