sample_id,sample_date,stream_ion,ion_conc
Q1,1986-05-20,K,0.81
Q1,1986-05-20,Mg,3.04
Q1,1986-05-20,Ca,4.26
Q1,1986-05-20,NO3-N,118
Q1,1986-05-27,K,0.82
Q1,1986-05-27,Mg,3.13
Q1,1986-05-27,Ca,3.17
Q1,1986-05-27,NO3-N,109
Q1,1986-06-03,K,0.82
Q1,1986-06-03,Mg,3.15
Q1,1986-06-03,Ca,4.38
Q1,1986-06-03,NO3-N,114
Q1,1986-10-21,K,0.65
Q1,1986-10-21,Mg,2.73
Q1,1986-10-21,Ca,4.91
Q1,1986-10-21,NH4-N,10
Q1,1986-10-21,NO3-N,124
Q1,1986-10-28,K,0.62
Q1,1986-10-28,Mg,2.86
Q1,1986-10-28,Ca,4.6
Q1,1986-10-28,NH4-N,40
Q1,1986-11-04,K,0.64
Q1,1986-11-04,Mg,2.8
Q1,1986-11-04,Ca,4.45
Q1,1986-11-04,NH4-N,10
Q1,1986-11-10,K,0.69
Q1,1986-11-10,Mg,2.4
Q1,1986-11-10,Ca,3.93
Q1,1986-11-10,NH4-N,47
Q1,1986-11-10,NO3-N,103
Q1,1986-11-18,K,0.68
Q1,1986-11-18,Mg,2.66
Q1,1986-11-18,Ca,3.95
Q1,1986-11-18,NH4-N,20
Q1,1986-11-18,NO3-N,153
Q1,1986-11-25,K,0.77
Q1,1986-11-25,Mg,1.19
Q1,1986-11-25,Ca,2.11
Q1,1986-11-25,NO3-N,264
Q1,1986-12-02,K,0.66
Q1,1986-12-02,Mg,2.43
Q1,1986-12-02,Ca,3.95
Q1,1986-12-02,NH4-N,16
Q1,1986-12-02,NO3-N,158
Q1,1986-12-09,K,0.67
Q1,1986-12-09,Mg,2.74
Q1,1986-12-09,Ca,3.52
Q1,1986-12-09,NH4-N,10
Q1,1986-12-09,NO3-N,106
Q1,1986-12-16,K,0.62
Q1,1986-12-16,Mg,2.68
Q1,1986-12-16,Ca,3.94
Q1,1986-12-16,NH4-N,10
Q1,1986-12-16,NO3-N,146
Q1,1986-12-23,K,0.61
Q1,1986-12-23,Mg,2.8
Q1,1986-12-23,Ca,4.1
Q1,1986-12-23,NH4-N,23
Q1,1986-12-23,NO3-N,149
Q1,1986-12-30,K,0.62
Q1,1986-12-30,Mg,2.8
Q1,1986-12-30,Ca,4.13
Q1,1986-12-30,NH4-N,20
Q1,1986-12-30,NO3-N,113
Q1,1987-01-05,K,0.73
Q1,1987-01-05,Mg,2.73
Q1,1987-01-05,Ca,3.85
Q1,1987-01-05,NH4-N,36
Q1,1987-01-05,NO3-N,132
Q1,1987-01-13,K,0.66
Q1,1987-01-13,Mg,2.96
Q1,1987-01-13,Ca,4.13
Q1,1987-01-13,NH4-N,28
Q1,1987-01-13,NO3-N,151
Q1,1987-01-20,K,0.73
Q1,1987-01-20,Mg,2.96
Q1,1987-01-20,Ca,4.29
Q1,1987-01-20,NH4-N,31
Q1,1987-01-20,NO3-N,170
Q1,1987-01-27,K,0.65
Q1,1987-01-27,Mg,3.03
Q1,1987-01-27,Ca,4.24
Q1,1987-01-27,NH4-N,23
Q1,1987-01-27,NO3-N,137
Q1,1987-02-03,K,0.69
Q1,1987-02-03,Mg,3.01
Q1,1987-02-03,Ca,4.28
Q1,1987-02-03,NH4-N,25
Q1,1987-02-03,NO3-N,98
Q1,1987-02-10,K,0.67
Q1,1987-02-10,Mg,3.03
Q1,1987-02-10,Ca,4.14
Q1,1987-02-10,NH4-N,28
Q1,1987-02-10,NO3-N,137
Q1,1987-02-17,K,0.69
Q1,1987-02-17,Mg,3.09
Q1,1987-02-17,Ca,3.84
Q1,1987-02-17,NO3-N,127
Q1,1987-02-24,K,0.67
Q1,1987-02-24,Mg,3.09
Q1,1987-02-24,Ca,3.93
Q1,1987-02-24,NO3-N,118
Q1,1987-03-03,K,0.68
Q1,1987-03-03,Mg,3.03
Q1,1987-03-03,Ca,4.79
Q1,1987-03-03,NH4-N,7
Q1,1987-03-03,NO3-N,144
Q1,1987-03-10,K,0.71
Q1,1987-03-10,Mg,3.1
Q1,1987-03-10,Ca,4.41
Q1,1987-03-10,NO3-N,137
Q1,1987-03-18,K,0.92
Q1,1987-03-18,Mg,2.64
Q1,1987-03-18,Ca,3.67
Q1,1987-03-18,NH4-N,9
Q1,1987-03-18,NO3-N,152
Q1,1987-03-24,K,0.84
Q1,1987-03-24,Mg,2.78
Q1,1987-03-24,Ca,4.2
Q1,1987-03-24,NO3-N,140
Q1,1987-03-31,K,0.83
Q1,1987-03-31,Mg,2.84
Q1,1987-03-31,Ca,4.35
Q1,1987-03-31,NH4-N,10
Q1,1987-03-31,NO3-N,135
Q1,1987-04-07,K,0.85
Q1,1987-04-07,Mg,2.96
Q1,1987-04-07,Ca,4.47
Q1,1987-04-07,NH4-N,9
Q1,1987-04-07,NO3-N,123
Q1,1987-04-14,K,0.87
Q1,1987-04-14,Mg,1.38
Q1,1987-04-14,Ca,2.43
Q1,1987-04-14,NH4-N,20
Q1,1987-04-14,NO3-N,192
Q1,1987-04-21,K,0.83
Q1,1987-04-21,Mg,2.69
Q1,1987-04-21,Ca,4.93
Q1,1987-04-21,NH4-N,7
Q1,1987-04-21,NO3-N,140
Q1,1987-04-28,K,0.83
Q1,1987-04-28,Mg,2.92
Q1,1987-04-28,Ca,4.38
Q1,1987-04-28,NH4-N,9
Q1,1987-04-28,NO3-N,138
Q1,1987-05-05,K,0.84
Q1,1987-05-05,Mg,2.93
Q1,1987-05-05,Ca,4.26
Q1,1987-05-05,NH4-N,9
Q1,1987-05-05,NO3-N,130
Q1,1987-05-12,K,0.89
Q1,1987-05-12,Mg,2.09
Q1,1987-05-12,Ca,3.34
Q1,1987-05-12,NH4-N,104
Q1,1987-05-12,NO3-N,124
Q1,1987-05-19,K,0.79
Q1,1987-05-19,Mg,1.68
Q1,1987-05-19,Ca,1.92
Q1,1987-05-19,NH4-N,115
Q1,1987-05-19,NO3-N,178
Q1,1987-05-26,K,0.89
Q1,1987-05-26,Mg,2.38
Q1,1987-05-26,Ca,3.73
Q1,1987-05-26,NH4-N,92
Q1,1987-05-26,NO3-N,158
Q1,1987-06-02,K,0.76
Q1,1987-06-02,Mg,2.56
Q1,1987-06-02,Ca,3.92
Q1,1987-06-02,NH4-N,85
Q1,1987-06-02,NO3-N,140
Q1,1987-06-09,K,0.79
Q1,1987-06-09,Mg,2.59
Q1,1987-06-09,Ca,4.04
Q1,1987-06-09,NH4-N,108
Q1,1987-06-09,NO3-N,146
Q1,1987-06-16,K,0.8
Q1,1987-06-16,Mg,2.49
Q1,1987-06-16,Ca,3.7
Q1,1987-06-16,NH4-N,90
Q1,1987-06-16,NO3-N,160
Q1,1987-06-23,K,0.79
Q1,1987-06-23,Mg,2.11
Q1,1987-06-23,Ca,3.97
Q1,1987-06-23,NH4-N,76
Q1,1987-06-23,NO3-N,190
Q1,1987-06-30,K,0.86
Q1,1987-06-30,Mg,2.55
Q1,1987-06-30,Ca,3.57
Q1,1987-06-30,NH4-N,97
Q1,1987-06-30,NO3-N,145
Q1,1987-07-07,K,0.68
Q1,1987-07-07,Mg,2.49
Q1,1987-07-07,Ca,3.53
Q1,1987-07-07,NH4-N,106
Q1,1987-07-07,NO3-N,142
Q1,1987-07-14,K,0.79
Q1,1987-07-14,Mg,2.73
Q1,1987-07-14,Ca,4.26
Q1,1987-07-14,NH4-N,28
Q1,1987-07-14,NO3-N,170
Q1,1987-07-21,K,0.93
Q1,1987-07-21,Mg,2.4
Q1,1987-07-21,Ca,3.87
Q1,1987-07-21,NH4-N,45
Q1,1987-07-21,NO3-N,178
Q1,1987-07-28,K,0.87
Q1,1987-07-28,Mg,2.78
Q1,1987-07-28,Ca,4.18
Q1,1987-07-28,NH4-N,29
Q1,1987-07-28,NO3-N,148
Q1,1987-08-04,K,0.87
Q1,1987-08-04,Mg,2.86
Q1,1987-08-04,Ca,4.42
Q1,1987-08-04,NH4-N,79
Q1,1987-08-04,NO3-N,151
Q1,1987-08-11,K,0.86
Q1,1987-08-11,Mg,2.88
Q1,1987-08-11,Ca,4.46
Q1,1987-08-11,NH4-N,30
Q1,1987-08-11,NO3-N,133
Q1,1987-08-18,K,0.93
Q1,1987-08-18,Mg,2.94
Q1,1987-08-18,Ca,4.43
Q1,1987-08-18,NH4-N,33
Q1,1987-08-18,NO3-N,140
Q1,1987-08-25,K,0.9
Q1,1987-08-25,Mg,2.86
Q1,1987-08-25,Ca,4.26
Q1,1987-08-25,NH4-N,23
Q1,1987-08-25,NO3-N,166
Q1,1987-09-01,K,0.84
Q1,1987-09-01,Mg,2.88
Q1,1987-09-01,Ca,4.25
Q1,1987-09-01,NH4-N,34
Q1,1987-09-01,NO3-N,142
Q1,1987-09-08,NH4-N,20
Q1,1987-09-08,NO3-N,145
Q1,1987-09-15,K,0.82
Q1,1987-09-15,Mg,3
Q1,1987-09-15,Ca,4.44
Q1,1987-09-15,NH4-N,18
Q1,1987-09-15,NO3-N,142
Q1,1987-09-22,K,0.8
Q1,1987-09-22,Mg,2.91
Q1,1987-09-22,Ca,4.46
